FlightDate,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,SCHEDULED_TIME,ELAPSED_TIME,DISTANCE,Cancelled,Diverted,RoutePair,Direction,Month,DepHourLocal,Delayed_by_15 min,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015-01-01,DL,2154,LAX,ATL,600,559.0,-1.0,1310,1250.0,-20.0,250.0,231.0,1947,0,0,ATL-LAX,LAX→ATL,1,6,0.0,,,,,
2015-01-01,DL,369,LAX,ATL,730,726.0,-4.0,1442,1423.0,-19.0,252.0,237.0,1947,0,0,ATL-LAX,LAX→ATL,1,7,0.0,,,,,
2015-01-01,AA,190,JFK,ORD,800,801.0,1.0,955,957.0,2.0,175.0,176.0,740,0,0,JFK-ORD,JFK→ORD,1,8,0.0,,,,,
2015-01-01,DL,110,ATL,LAX,822,821.0,-1.0,1030,1035.0,5.0,308.0,314.0,1947,0,0,ATL-LAX,ATL→LAX,1,8,0.0,,,,,
2015-01-01,B6,905,JFK,ORD,830,828.0,-2.0,1019,1014.0,-5.0,169.0,166.0,740,0,0,JFK-ORD,JFK→ORD,1,8,0.0,,,,,
2015-01-01,WN,1191,LAX,ATL,900,926.0,26.0,1610,1621.0,11.0,250.0,235.0,1947,0,0,ATL-LAX,LAX→ATL,1,9,0.0,,,,,
2015-01-01,DL,80,LAX,ATL,915,913.0,-2.0,1630,1609.0,-21.0,255.0,236.0,1947,0,0,ATL-LAX,LAX→ATL,1,9,0.0,,,,,
2015-01-01,DL,1455,ATL,LAX,951,950.0,-1.0,1204,1208.0,4.0,313.0,318.0,1947,0,0,ATL-LAX,ATL→LAX,1,9,0.0,,,,,
2015-01-01,B6,906,ORD,JFK,956,1009.0,13.0,1259,1259.0,0.0,123.0,110.0,740,0,0,JFK-ORD,ORD→JFK,1,9,0.0,,,,,
2015-01-01,DL,1555,ATL,LAX,1052,1052.0,0.0,1300,1303.0,3.0,308.0,311.0,1947,0,0,ATL-LAX,ATL→LAX,1,10,0.0,,,,,
2015-01-01,DL,101,LAX,ATL,1130,1154.0,24.0,1840,1856.0,16.0,250.0,242.0,1947,0,0,ATL-LAX,LAX→ATL,1,11,1.0,0.0,0.0,16.0,0.0,0.0
2015-01-01,DL,1655,ATL,LAX,1220,1321.0,61.0,1429,1513.0,44.0,309.0,292.0,1947,0,0,ATL-LAX,ATL→LAX,1,12,1.0,0.0,0.0,44.0,0.0,0.0
2015-01-01,DL,1754,LAX,ATL,1225,1232.0,7.0,1937,1930.0,-7.0,252.0,238.0,1947,0,0,ATL-LAX,LAX→ATL,1,12,0.0,,,,,
2015-01-01,WN,808,ATL,LAX,1230,1243.0,13.0,1440,1457.0,17.0,310.0,314.0,1947,0,0,ATL-LAX,ATL→LAX,1,12,1.0,4.0,0.0,13.0,0.0,0.0
2015-01-01,AA,198,ORD,JFK,1255,1252.0,-3.0,1605,1544.0,-21.0,130.0,112.0,740,0,0,JFK-ORD,ORD→JFK,1,12,0.0,,,,,
2015-01-01,WN,1025,LAX,ATL,1325,1343.0,18.0,2035,2038.0,3.0,250.0,235.0,1947,0,0,ATL-LAX,LAX→ATL,1,13,0.0,,,,,
2015-01-01,DL,1654,LAX,ATL,1330,1330.0,0.0,2040,2029.0,-11.0,250.0,239.0,1947,0,0,ATL-LAX,LAX→ATL,1,13,0.0,,,,,
2015-01-01,DL,370,ATL,LAX,1503,1502.0,-1.0,1713,1658.0,-15.0,310.0,296.0,1947,0,0,ATL-LAX,ATL→LAX,1,15,0.0,,,,,
2015-01-01,DL,1554,LAX,ATL,1505,1502.0,-3.0,2214,2202.0,-12.0,249.0,240.0,1947,0,0,ATL-LAX,LAX→ATL,1,15,0.0,,,,,
2015-01-01,DL,81,ATL,LAX,1625,1644.0,19.0,1834,1826.0,-8.0,309.0,282.0,1947,0,0,ATL-LAX,ATL→LAX,1,16,0.0,,,,,
2015-01-01,AA,199,JFK,ORD,1710,1714.0,4.0,1910,1912.0,2.0,180.0,178.0,740,0,0,JFK-ORD,JFK→ORD,1,17,0.0,,,,,
2015-01-01,DL,2055,ATL,LAX,1750,1745.0,-5.0,1959,1936.0,-23.0,309.0,291.0,1947,0,0,ATL-LAX,ATL→LAX,1,17,0.0,,,,,
2015-01-01,DL,2155,ATL,LAX,1927,1938.0,11.0,2137,2136.0,-1.0,310.0,298.0,1947,0,0,ATL-LAX,ATL→LAX,1,19,0.0,,,,,
2015-01-01,B6,105,JFK,ORD,1930,1925.0,-5.0,2118,2140.0,22.0,168.0,195.0,740,0,0,JFK-ORD,JFK→ORD,1,19,1.0,22.0,0.0,0.0,0.0,0.0
2015-01-01,B6,1106,ORD,JFK,1944,2003.0,19.0,2248,2315.0,27.0,124.0,132.0,740,0,0,JFK-ORD,ORD→JFK,1,19,1.0,8.0,0.0,2.0,17.0,0.0
2015-01-01,AA,149,ORD,JFK,1955,1952.0,-3.0,2305,2250.0,-15.0,130.0,118.0,740,0,0,JFK-ORD,ORD→JFK,1,19,0.0,,,,,
2015-01-01,WN,639,ATL,LAX,2050,2050.0,0.0,2305,2241.0,-24.0,315.0,291.0,1947,0,0,ATL-LAX,ATL→LAX,1,20,0.0,,,,,
2015-01-01,DL,2355,ATL,LAX,2051,2046.0,-5.0,2255,2239.0,-16.0,304.0,293.0,1947,0,0,ATL-LAX,ATL→LAX,1,20,0.0,,,,,
2015-01-01,DL,1354,LAX,ATL,2245,2247.0,2.0,550,546.0,-4.0,245.0,239.0,1947,0,0,ATL-LAX,LAX→ATL,1,22,0.0,,,,,
2015-01-02,DL,1154,LAX,ATL,55,53.0,-2.0,759,755.0,-4.0,244.0,242.0,1947,0,0,ATL-LAX,LAX→ATL,1,0,0.0,,,,,
2015-01-02,DL,2154,LAX,ATL,600,559.0,-1.0,1310,1318.0,8.0,250.0,259.0,1947,0,0,ATL-LAX,LAX→ATL,1,6,0.0,,,,,
2015-01-02,WN,3225,LAX,ATL,610,610.0,0.0,1330,1332.0,2.0,260.0,262.0,1947,0,0,ATL-LAX,LAX→ATL,1,6,0.0,,,,,
2015-01-02,DL,369,LAX,ATL,730,741.0,11.0,1442,1437.0,-5.0,252.0,236.0,1947,0,0,ATL-LAX,LAX→ATL,1,7,0.0,,,,,
2015-01-02,AA,190,JFK,ORD,800,801.0,1.0,955,1005.0,10.0,175.0,184.0,740,0,0,JFK-ORD,JFK→ORD,1,8,0.0,,,,,
2015-01-02,DL,110,ATL,LAX,822,826.0,4.0,1030,1018.0,-12.0,308.0,292.0,1947,0,0,ATL-LAX,ATL→LAX,1,8,0.0,,,,,
2015-01-02,WN,48,ATL,LAX,825,911.0,46.0,1040,1101.0,21.0,315.0,290.0,1947,0,0,ATL-LAX,ATL→LAX,1,8,1.0,0.0,0.0,5.0,16.0,0.0
2015-01-02,B6,905,JFK,ORD,830,827.0,-3.0,1019,1021.0,2.0,169.0,174.0,740,0,0,JFK-ORD,JFK→ORD,1,8,0.0,,,,,
2015-01-02,WN,1191,LAX,ATL,900,901.0,1.0,1610,1610.0,0.0,250.0,249.0,1947,0,0,ATL-LAX,LAX→ATL,1,9,0.0,,,,,
2015-01-02,DL,80,LAX,ATL,910,952.0,42.0,1625,1709.0,44.0,255.0,257.0,1947,0,0,ATL-LAX,LAX→ATL,1,9,1.0,44.0,0.0,0.0,0.0,0.0
2015-01-02,DL,1455,ATL,LAX,951,1004.0,13.0,1205,1232.0,27.0,314.0,328.0,1947,0,0,ATL-LAX,ATL→LAX,1,9,1.0,14.0,0.0,13.0,0.0,0.0
2015-01-02,B6,906,ORD,JFK,956,954.0,-2.0,1259,1259.0,0.0,123.0,125.0,740,0,0,JFK-ORD,ORD→JFK,1,9,0.0,,,,,
2015-01-02,DL,1555,ATL,LAX,1052,1050.0,-2.0,1300,1244.0,-16.0,308.0,294.0,1947,0,0,ATL-LAX,ATL→LAX,1,10,0.0,,,,,
2015-01-02,DL,101,LAX,ATL,1125,1148.0,23.0,1837,1851.0,14.0,252.0,243.0,1947,0,0,ATL-LAX,LAX→ATL,1,11,0.0,,,,,
2015-01-02,DL,1655,ATL,LAX,1220,1219.0,-1.0,1429,1408.0,-21.0,309.0,289.0,1947,0,0,ATL-LAX,ATL→LAX,1,12,0.0,,,,,
2015-01-02,DL,1754,LAX,ATL,1225,1226.0,1.0,1938,1937.0,-1.0,253.0,251.0,1947,0,0,ATL-LAX,LAX→ATL,1,12,0.0,,,,,
2015-01-02,WN,642,ATL,LAX,1230,1253.0,23.0,1440,1442.0,2.0,310.0,289.0,1947,0,0,ATL-LAX,ATL→LAX,1,12,0.0,,,,,
