RoutePair,Month,OnTimePct
ATL-LAX,1,88.07947019867551
ATL-LAX,2,82.30088495575221
ATL-LAX,3,81.0568295114656
ATL-LAX,4,86.06811145510835
ATL-LAX,5,84.77477477477477
ATL-LAX,6,78.97574123989219
ATL-LAX,7,77.39665787159191
ATL-LAX,8,79.96575342465754
ATL-LAX,9,88.24065633546034
ATL-LAX,11,85.31598513011153
ATL-LAX,12,77.36013986013985
JFK-ORD,1,68.64406779661016
JFK-ORD,2,65.5367231638418
JFK-ORD,3,66.4835164835165
JFK-ORD,4,71.25
JFK-ORD,5,78.97727272727273
JFK-ORD,6,67.621776504298
JFK-ORD,7,75.41436464088397
JFK-ORD,8,77.29729729729729
JFK-ORD,9,78.19314641744548
JFK-ORD,11,75.51867219917013
JFK-ORD,12,61.53846153846154
